Duration,Date,Pulse,Maxpulse,Calories
60,2020-12-01,110,130,409.1
60,2020-12-02,117,145,479.0
60,2020-12-03,103,135,340.0
45,2020-12-04,109,175,282.4
45,2020-12-05,117,148,406.0
60,2020-12-06,102,127,300.0
60,2020-12-07,110,136,374.0
45,2020-12-08,104,134,253.3
30,2020-12-09,109,133,195.1
60,2020-12-10,98,124,269.0
60,2020-12-11,103,147,329.3
60,2020-12-12,100,120,250.7
60,2020-12-13,100,120,250.7
60,2020-12-14,106,128,345.3
60,2020-12-15,104,132,379.3
60,2020-12-16,98,123,275.0
60,2020-12-17,98,120,215.2
60,2020-12-18,100,120,300.0
45,2020-12-19,90,112,376.2
60,2020-12-20,103,123,323.0
45,2020-12-21,97,125,243.0
60,2020-12-22,108,131,364.2
45,2020-12-23,100,119,282.0
60,2020-12-24,130,101,300.0
45,2020-12-25,105,132,246.0
60,2020-12-26,102,126,334.5
60,2020-12-27,100,120,250.0
60,2020-12-28,92,118,241.0
60,2020-12-29,103,132,376.2
60,2020-12-30,100,132,280.0
60,2020-12-31,102,129,380.3
60,2021-01-01,92,115,243.0
60,2021-01-02,101,124,299.0
60,2021-01-03,93,113,223.0
60,2021-01-04,107,136,361.0
60,2021-01-05,114,140,415.0
60,2021-01-06,102,127,300.5
60,2021-01-07,100,120,300.1
60,2021-01-08,100,120,300.0
45,2021-01-09,104,129,266.0
45,2021-01-10,90,112,180.1
60,2021-01-11,98,126,286.0
60,2021-01-12,100,122,329.4
60,2021-01-13,111,138,400.0
60,2021-01-14,111,131,397.0
60,2021-01-15,99,119,273.0
60,2021-01-16,109,153,387.6
45,2021-01-17,111,136,300.0
45,2021-01-18,108,129,298.0
60,2021-01-19,111,139,397.6
60,2021-01-20,107,136,380.2
80,2021-01-21,123,146,643.1
60,2021-01-22,106,130,263.0
60,2021-01-23,118,151,486.0
30,2021-01-24,136,175,238.0
60,2021-01-25,121,146,450.7
60,2021-01-26,118,121,413.0
45,2021-01-27,115,144,305.0
20,2021-01-28,153,172,226.4
45,2021-01-29,123,152,321.0
210,2021-01-30,108,160,1376.0
160,2021-01-31,110,137,1034.4
160,2021-02-01,109,135,853.0
