Duration,Date,Pulse,Maxpulse,Calories
60,'2020/12/01',110,130,409.1
60,'2020/12/02',117,145,479.0
60,'2020/12/03',103,135,340.0
45,'2020/12/04',109,175,282.4
45,'2020/12/05',117,148,406.0
60,'2020/12/06',102,127,300.0
60,'2020/12/07',110,136,374.0
450,'2020/12/08',104,134,253.3
30,'2020/12/09',109,133,195.1
60,'2020/12/10',98,124,269.0
60,'2020/12/11',103,147,329.3
60,'2020/12/12',100,120,250.7
60,'2020/12/12',100,120,250.7
60,'2020/12/13',106,128,345.3
60,'2020/12/14',104,132,379.3
60,'2020/12/15',98,123,275.0
60,'2020/12/16',98,120,215.2
60,'2020/12/17',100,120,300.0
45,'2020/12/18',90,112,NaN
60,'2020/12/19',103,123,323.0
45,'2020/12/20',97,125,243.0
60,'2020/12/21',108,131,364.2
45,NaN,100,119,282.0
60,'2020/12/23',130,101,300.0
45,'2020/12/24',105,132,246.0
60,'2020/12/25',102,126,334.5
60,2020/12/26,100,120,250.0
60,'2020/12/27',92,118,241.0
60,'2020/12/28',103,132,NaN
60,'2020/12/29',100,132,280.0
60,'2020/12/30',102,129,380.3
60,'2020/12/31',92,115,243.0
60,NaN,101,124,299.0
60,NaN,93,113,223.0
60,NaN,107,136,361.0
60,NaN,114,140,415.0
60,NaN,102,127,300.5
60,NaN,100,120,300.1
60,NaN,100,120,300.0
45,NaN,104,129,266.0
45,NaN,90,112,180.1
60,NaN,98,126,286.0
60,NaN,100,122,329.4
60,NaN,111,138,400.0
60,NaN,111,131,397.0
60,NaN,99,119,273.0
60,NaN,109,153,387.6
45,NaN,111,136,300.0
45,NaN,108,129,298.0
60,NaN,111,139,397.6
60,NaN,107,136,380.2
80,NaN,123,146,643.1
60,NaN,106,130,263.0
60,NaN,118,151,486.0
30,NaN,136,175,238.0
60,NaN,121,146,450.7
60,NaN,118,121,413.0
45,NaN,115,144,305.0
20,NaN,153,172,226.4
45,NaN,123,152,321.0
210,NaN,108,160,1376.0
160,NaN,110,137,1034.4
160,NaN,109,135,853.0
45,NaN,118,141,341.0
20,NaN,110,130,131.4
180,NaN,90,130,800.4
150,NaN,105,135,873.4
150,NaN,107,130,816.0
20,NaN,106,136,110.4
300,NaN,108,143,1500.2
150,NaN,97,129,1115.0
60,NaN,109,153,387.6
90,NaN,100,127,700.0
150,NaN,97,127,953.2
45,NaN,114,146,304.0
90,NaN,98,125,563.2
45,NaN,105,134,251.0
45,NaN,110,141,300.0
120,NaN,100,130,500.4
270,NaN,100,131,1729.0
30,NaN,159,182,319.2
45,NaN,149,169,344.0
30,NaN,103,139,151.1
120,NaN,100,130,500.0
45,NaN,100,120,225.3
30,NaN,151,170,300.1
45,NaN,102,136,234.0
120,NaN,100,157,1000.1
45,NaN,129,103,242.0
20,NaN,83,107,50.3
180,NaN,101,127,600.1
45,NaN,107,137,NaN
30,NaN,90,107,105.3
15,NaN,80,100,50.5
20,NaN,150,171,127.4
20,NaN,151,168,229.4
30,NaN,95,128,128.2
25,NaN,152,168,244.2
30,NaN,109,131,188.2
90,NaN,93,124,604.1
20,NaN,95,112,77.7
90,NaN,90,110,500.0
90,NaN,90,100,500.0
90,NaN,90,100,500.4
30,NaN,92,108,92.7
30,NaN,93,128,124.0
180,NaN,90,120,800.3
30,NaN,90,120,86.2
90,NaN,90,120,500.3
210,NaN,137,184,1860.4
60,NaN,102,124,325.2
45,NaN,107,124,275.0
15,NaN,124,139,124.2
45,NaN,100,120,225.3
60,NaN,108,131,367.6
60,NaN,108,151,351.7
60,NaN,116,141,443.0
60,NaN,97,122,277.4
60,NaN,105,125,NaN
60,NaN,103,124,332.7
30,NaN,112,137,193.9
45,NaN,100,120,100.7
60,NaN,119,169,336.7
60,NaN,107,127,344.9
60,NaN,111,151,368.5
60,NaN,98,122,271.0
60,NaN,97,124,275.3
60,NaN,109,127,382.0
90,NaN,99,125,466.4
60,NaN,114,151,384.0
60,NaN,104,134,342.5
60,NaN,107,138,357.5
60,NaN,103,133,335.0
60,NaN,106,132,327.5
60,NaN,103,136,339.0
20,NaN,136,156,189.0
45,NaN,117,143,317.7
45,NaN,115,137,318.0
45,NaN,113,138,308.0
20,NaN,141,162,222.4
60,NaN,108,135,390.0
60,NaN,97,127,NaN
45,NaN,100,120,250.4
45,NaN,122,149,335.4
60,NaN,136,170,470.2
45,NaN,106,126,270.8
60,NaN,107,136,400.0
60,NaN,112,146,361.9
30,NaN,103,127,185.0
60,NaN,110,150,409.4
60,NaN,106,134,343.0
60,NaN,109,129,353.2
60,NaN,109,138,374.0
30,NaN,150,167,275.8
60,NaN,105,128,328.0
60,NaN,111,151,368.5
60,NaN,97,131,270.4
60,NaN,100,120,270.4
60,NaN,114,150,382.8
30,NaN,80,120,240.9
30,NaN,85,120,250.4
45,NaN,90,130,260.4
45,NaN,95,130,270.0
45,NaN,100,140,280.9
60,NaN,105,140,290.8
60,NaN,110,145,300.4
60,NaN,115,145,310.2
75,NaN,120,150,320.4
75,NaN,125,150,330.4
